customer_code,product_code,plan_code,report_date,units_used,included_units,load_ts
CUST-005,PROD-API,PLAN-BASIC,2025-09-21,1300,1000,2025-09-21 12:00:00

CUST-006,PROD-API,PLAN-PRO,2025-09-15,2100,2000,2025-09-21 12:00:00
CUST-006,PROD-API,PLAN-PRO,2025-09-16,1600,2000,2025-09-21 12:00:00
CUST-006,PROD-API,PLAN-PRO,2025-09-17,1800,2000,2025-09-21 12:00:00
CUST-006,PROD-API,PLAN-PRO,2025-09-18,2500,2000,2025-09-21 12:00:00
CUST-006,PROD-API,PLAN-PRO,2025-09-19,2400,2000,2025-09-21 12:00:00
CUST-006,PROD-API,PLAN-PRO,2025-09-20,1900,2000,2025-09-21 12:00:00
CUST-006,PROD-API,PLAN-PRO,2025-09-21,2600,2000,2025-09-21 12:00:00

CUST-007,PROD-ETL,PLAN-ETL-100K,2025-09-15,52000,50000,2025-09-21 12:00:00
CUST-007,PROD-ETL,PLAN-ETL-100K,2025-09-16,40000,50000,2025-09-21 12:00:00
CUST-007,PROD-ETL,PLAN-ETL-100K,2025-09-17,75000,50000,2025-09-21 12:00:00
CUST-007,PROD-ETL,PLAN-ETL-100K,2025-09-18,68000,50000,2025-09-21 12:00:00
CUST-007,PROD-ETL,PLAN-ETL-100K,2025-09-19,51000,50000,2025-09-21 12:00:00
CUST-007,PROD-ETL,PLAN-ETL-100K,2025-09-20,30000,50000,2025-09-21 12:00:00
CUST-007,PROD-ETL,PLAN-ETL-100K,2025-09-21,90000,50000,2025-09-21 12:00:00

CUST-008,PROD-ALRT,PLAN-ALRT-STD,2025-09-15,10,0,2025-09-21 12:00:00
CUST-008,PROD-ALRT,PLAN-ALRT-STD,2025-09-16,8,0,2025-09-21 12:00:00
CUST-008,PROD-ALRT,PLAN-ALRT-STD,2025-09-17,25,0,2025-09-21 12:00:00
CUST-008,PROD-ALRT,PLAN-ALRT-STD,2025-09-18,18,0,2025-09-21 12:00:00
CUST-008,PROD-ALRT,PLAN-ALRT-STD,2025-09-19,40,0,2025-09-21 12:00:00
CUST-008,PROD-ALRT,PLAN-ALRT-STD,2025-09-20,35,0,2025-09-21 12:00:00
CUST-008,PROD-ALRT,PLAN-ALRT-STD,2025-09-21,12,0,2025-09-21 12:00:00
